"package","n"
"cmsaf",674
"rehh",673
"PeakSegDisk",673
"ccaPP",673
"Bchron",673
"superml",672
"opencv",672
"ecmwfr",672
"bayesPop",672
"vapour",671
"separationplot",671
"rsyntax",671
"roxut",671
"ggpath",671
"analogue",671
"stylo",670
"sfnetworks",670
"OlinkAnalyze",669
"goeveg",669
"DIZutils",669
"did2s",669
"words",668
"r2mlm",668
"pkglite",668
"oddsapiR",668
"mhsmm",668
"glinternet",668
"fitur",668
"doc2vec",668
"censobr",668
"influence.ME",667
"ggbump",667
"EvidenceSynthesis",667
"scoringutils",666
"RcmdrPlugin.TeachingDemos",666
"poilog",666
"neurobase",666
"mle.tools",666
"EBMAforecast",666
"bimets",666
"synthesis",665
"pdynmc",665
"orloca",665
"nlpsem",665
"gMCP",665
"clarify",665
"abe",665
"woeBinning",664
"rateratio.test",664
"mFD",664
"labstatR",664
"filebin",664
"CytobankAPI",664
"restatapi",663
"opalr",663
"RAQSAPI",662
"KnowBR",662
"geojsonR",662
"FKF",662
"capushe",662
"anthro",662
"meme",661
"LaF",661
"inti",661
"fable.prophet",661
"SCpubr",660
"samr",660
"OneR",660
"MixMatrix",660
"hchinamap",660
"Countr",660
"survC1",659
"naptime",659
"multiplex",659
"mlr3oml",659
"maSAE",659
"atom4R",659
"RFOC",658
"rcorpora",658
"politeness",658
"mapsapi",658
"InflectSSP",658
"clickR",658
"beautier",658
"tvthemes",657
"nparLD",657
"multitaper",657
"matchingMarkets",657
"manynet",657
"gpg",657
"Devore7",657
"breakDown",657
"swimplot",656
"plotRCS",656
"MATA",656
"SNPassoc",655
"runonce",655
"bacondecomp",655
"R2wd",654
"icesVocab",654
"longitudinal",653
"likelihoodR",653
"jskm",653
"flare",653
"dynwrap",653
"statebins",652
"mapboxapi",652
"MAd",651
"konfound",651
"drhur",651
"aroma.core",651
"RobustRankAggreg",650
"Renext",650
"prioritizrdata",650
"moveHMM",650
"rminer",649
"ecpc",649
"colorfindr",649
"yacca",648
"PakPMICS2014Wm",648
"PakPMICS2014HL",648
"irt",648
"tern",647
"gllvm",647
"KeyboardSimulator",646
"icr",646
"ffscrapr",646
"sphet",645
"rorcid",645
"readabs",645
"jackalope",645
"intsvy",645
"edfReader",645
"disordR",645
"spatialprobit",644
"RSclient",644
"plnr",644
"nfl4th",644
"mschart",644
"keypress",644
"difNLR",644
"CAST",644
"ast2ast",644
"rdecision",643
"vegdata",642
"siebanxicor",642
"pct",642
"insect",642
"trip",641
"rsem",641
"RGBM",641
"ooplah",641
"mcmcplots",641
"GDINA",641
"cropcircles",641
"quantregGrowth",640
"pkgfilecache",640
"rodeo",639
"kde1d",639
"juicr",639
"greeks",639
"geoscale",639
"ForeCA",639
"egor",639
"dendroTools",639
"betafunctions",639
"airGRiwrm",639
"gyro",638
"daiquiri",638
"cleancall",638
"zdeskR",637
"spectralGraphTopology",637
"panelvar",637
"palinsol",637
"JMbayes",637
"ergm.rank",637
"spc",636
"simplevis",636
"domino",636
"sparklyr.flint",635
"apexcharter",635
"MBHdesign",634
"latentcor",634
"mixedClust",633
"gbRd",633
"tolerance",632
"resample",632
"midasr",632
"metagear",632
"FactorsR",632
"bib2df",632
"VAR.etp",631
"sugrrants",631
"ludic",631
"donut",631
"dampack",631
"boundingbox",631
"BayesianTools",631
"ssdtools",630
"smoots",630
"prodigenr",630
"NPRED",630
"lolog",630
"eplusr",630
"EcoIndR",630
"dplyrAssist",630
"MultNonParam",629
"LDAShiny",629
"schoolmath",628
"Qtools",628
"QTLRel",628
"mixAR",628
"MetricsWeighted",628
"hmeasure",628
"cargo",628
"irtoys",627
"grapesAgri1",627
"ggrain",627
"franc",627
"FLAME",627
"emoji",627
"baguette",627
"sitar",626
"rbounds",626
"powerEQTL",626
"lspline",626
"kzs",626
"fdicdata",626
"didimputation",626
"tvm",625
"CsChange",625
"BREADR",625
"BeastJar",625
"aroma.affymetrix",625
"adbcdrivermanager",625
"NegativeControlOutcomeAdjustment",624
"IDSL.MXP",624
"errorlocate",624
"dyn",624
"basemaps",624
"abctools",624
"nlmixr2",623
"MixedIndTests",623
"kerastuneR",623
"HACSim",623
"glmpca",623
"frequencyConnectedness",623
"USgas",622
"plotwidgets",622
"geometa",622
"gamlss.cens",622
"EMD",622
"ActivePathways",622
"TreeSim",621
"tidytransit",621
"NMdata",621
"MixSIAR",621
"MazamaSpatialUtils",621
"gravity",621
"GeneNet",621
"CADFtest",621
"BIEN",621
"torchvision",620
"svars",620
"SpecHelpers",620
"sigmoid",620
"mangoTraining",620
"calibrator",620
"ttutils",619
"auk",619
"SPEDInstabR",618
"rcompendium",618
"rcarbon",618
"ouch",618
"gen3sis",618
"cccp",618
"robvis",617
"RDS",617
"msentropy",617
"MACER",617
"clhs",617
"xergm.common",616
"trimcluster",616
"RConics",616
"rbedrock",616
"mlegp",616
"loa",616
"GGIRread",616
"gggibbous",616
"DirStats",616
"behavr",616
"autostsm",616
"wru",615
"movMF",615
"BOIN",615
"RcmdrPlugin.EACSPIR",614
"moranajp",614
"ggmice",614
"funtimes",614
"dexter",614
"BiDAG",614
"startup",613
"stackoverflow",613
"R.filesets",613
"reReg",613
"osmextract",613
"htm2txt",613
"blandr",613
"jrvFinance",612
"intamap",612
"BTSR",612
"rNeighborQTL",611
"rebmix",611
"r2glmm",611
"naspaclust",611
"kdry",611
"gWidgetsRGtk2",611
"GeoModels",611
"funGp",611
"dice",611
"cforward",611
"rphylopic",610
"rly",610
"meerva",610
"hypr",610
"BayesSUR",610
"psychmeta",609
"geosapi",609
"dint",609
"dataCompareR",609
"conrad",609
"readMzXmlData",608
"rdmulti",608
"RcmdrPlugin.GWRM",608
"rcheology",608
"Ostats",608
"icrf",608
"genepop",608
"docxtractr",608
"bnstruct",608
"StableEstim",607
"spacesXYZ",607
"QRM",607
"PTAk",607
"EasyMx",607
"agricolaeplotr",607
"WASP",606
"tuber",606
"tidyhydat",606
"ramify",606
"Nozzle.R1",606
"knitrBootstrap",606
"ipeadatar",606
"GWASExactHW",606
"grainscape",606
"FRK",606
"file2meco",606
"comFuncs",606
"Rdimtools",605
"ngramrr",605
"gifti",605
"dictionar6",605
"nlraa",604
"Momocs",604
"HTSCluster",604
"markmyassignment",603
"episensr",603
"cubfits",603
"colorBlindness",603
"cereal",603
"unisensR",602
"smacpod",602
"micemd",602
"glmm.hp",602
"didrooRFM",602
"RcmdrPlugin.BiclustGUI",601
"namedropR",601
"csutil",601
"crew.cluster",601
"backbone",601
"and",601
"AlphaSimR",601
"rgeedim",599
"optiSel",599
"npde",599
"nhstplot",599
"ggQC",599
"fuzzywuzzyR",598
"queueing",597
"ProcData",597
"libr",597
"kalmanfilter",597
"cleaR",597
"apa",597
"tframe",596
"StepReg",596
"rMEA",596
"hergm",596
"GetBCBData",596
"CARBayesST",596
"RcmdrPlugin.DCE",595
"lmeresampler",595
"EdSurvey",595
"cosinor",595
"ChemoSpecUtils",595
"ABCoptim",595
"weathermetrics",594
"tokenbrowser",594
"tidytidbits",594
"survex",594
"options",594
"nparcomp",594
"hisse",594
"ensembleBMA",594
"sociome",593
"randomizeR",593
"pomdp",593
"HRW",593
"GGMselect",593
"fitHeavyTail",593
"EvaluateCore",593
"condformat",593
"BCEA",593
"org",592
"ncdf4.helpers",592
"MVar.pt",592
"glmnetr",592
"ggplotAssist",592
"epitrix",592
"cstidy",592
"caroline",592
"walker",591
"seastests",591
"OptimalCutpoints",591
"lmeSplines",591
"innsight",591
"ggsoccer",591
"GDAtools",591
"crimCV",591
"requiRements",590
"RcmdrPlugin.WorldFlora",590
"onbabynames",590
"diverse",590
"bayesplay",590
"AIPW",590
"xpose",589
"TUFLOWR",589
"sgt",589
"rjade",589
"omnibus",589
"CARBayesdata",589
"bamlss",589
"untb",588
"prenoms",588
"distrMod",588
"askgpt",588
"TSdist",587
"rliger",587
"RcmdrPlugin.TeachStat",587
"nflseedR",587
"MOSS",587
"dbGaPCheckup",587
"chisq.posthoc.test",587
"BoutrosLab.plotting.general",587
"available",587
"qualvar",586
"nat",586
"kStatistics",586
"rscc",585
"PoissonPCA",585
"phonics",585
"edgar",585
"timetools",584
"squeezy",584
"MTE",584
"landsat",584
"IntervalSurgeon",584
"DPQ",584
"RoBTT",583
"pcFactorStan",583
"GGMnonreg",583
"epimdr2",583
"disprofas",583
"vimp",582
"tractor.base",582
"RcmdrPlugin.DCCV",582
"homologene",582
"autoplotly",582
"jmvReadWrite",581
"intensitynet",581
"ggpie",581
"EValue",581
"DiallelAnalysisR",581
"covidnor",581
"survPen",580
"mvSLOUCH",580
"knn.covertree",580
"intrinsicDimension",580
"spatialsample",579
"NonCompart",579
"nipals",579
"AdhereR",579
"AdequacyModel",579
"qgshiny",578
"hubeau",578
"hagis",578
"dlsem",578
"dclone",578
"CKMRpop",578
"aggregation",578
"simmer.plot",577
"Rlgt",577
"onemap",577
"MLDS",577
"lemna",577
"NBLDA",576
"MassWateR",576
"ip2location",576
"BGmisc",576
"attention",576
"uniset",575
"survIDINRI",575
"sdcMicro",575
"Rthingsboard",575
"pequod",575
"nflverse",575
"kriging",575
"editrules",575
"dbx",575
"bayesmeta",575
"RMAWGEN",574
"RCzechia",574
"PTXQC",574
"protoclust",574
"MazamaCoreUtils",574
"grplasso",574
"fiery",574
"cffdrs",574
"betacal",574
"AnanseSeurat",574
"textir",573
"rNOMADS",573
"mma",573
"genieBPC",573
"docreview",573
"diceR",573
"bcfrailph",573
"robfilter",572
"rebus.datetimes",572
"rdwd",572
"OUwie",572
"multinet",572
"indiedown",572
"idm",572
"AATtools",572
"rTRNG",571
"matsbyname",571
"astrochron",571
"whoa",570
"metafolio",570
"gmvarkit",570
"ActCR",570
"rswipl",569
"GAS",569
"codemetar",569
"BayesMallows",569
"ammistability",569
"rebus",568
"PK",568
"OralOpioids",568
"NST",568
"lingtypology",568
"histogram",568
"ExtremeBounds",568
"cfbfastR",568
"stdReg",567
"liver",567
"forestError",567
"ctpm",567
"compound.Cox",567
"vein",566
"descriptio",566
"consort",566
"swissparl",565
"qtl2",565
"powerSurvEpi",565
"popdemo",565
"lmridge",565
"IterativeHardThresholding",565
"GUILDS",565
"bcfrailphdv",565
"treeclim",564
"gRim",564
"diseasemapping",564
"ChineseNames",564
"AllelicSeries",564
"ssfa",563
"sharpshootR",563
"piecepackr",563
"ExtDist",563
"peakRAM",562
"link2GI",562
"httk",562
"elo",562
"cpd",562
"cliapp",562
"anMC",562
"Unicode",561
"RaschSampler",561
"lordif",561
"barcode",561
"treespace",560
"stcos",560
"rotor",560
"readbulk",560
"RcmdrPlugin.aRnova",560
"PhaseType",560
"librarysnapshot",560
"funr",560
"ergm.ego",560
"rstack",559
"radarchart",559
"PoiClaClu",559
"pgdraw",559
"mlr3spatiotempcv",559
"lightr",559
"dbmss",559
"nestedcv",558
"FITSio",558
"cbsodataR",558
"antaresViz",558
"MonteCarloSEM",557
"fedmatch",557
"aoos",557
"accucor",557
"rdhs",556
"rdacca.hp",556
"netdiffuseR",556
"MortalityLaws",556
"ModTools",556
"gdm",556
"crispRdesignR",556
"concatenate",556
"AriGaMyANNSVR",556
"weightQuant",555
"taxonomizr",555
"spOccupancy",555
"N2R",555
"mustashe",555
"LMest",555
"COCONUT",555
"brisk",555
"airqualityES",555
"TSPred",554
"iCellR",554
"deps",554
"wyz.code.offensiveProgramming",553
"quantCurves",553
"polmineR",553
"freqdistributionNogives",553
"easy.utils",553
"WebGestaltR",552
"toolbox",552
"sregsurvey",552
"phenofit",552
"locits",552
"geonetwork",552
"ezcox",552
"eyetrackingR",552
"Evapotranspiration",552
"whitening",551
"plgp",551
"clidatajp",551
"bcmaps",551
"refer",550
"polyreg",550
"mggd",550
"admiral.test",550
"ThresholdROCsurvival",549
"SamplingStrata",549
"RTriangle",549
"RcmdrPlugin.coin",549
"OECD",549
"flexpolyline",549
"USpopcenters",548
"tempR",548
"simPop",548
"psidR",548
"pathlit",548
"mdscore",548
"echarty",548
"aopdata",548
"wpp2019",547
"TSrepr",547
"surveyvoi",547
"sur",547
"snowFT",547
"depthTools",547
"dataverse",547
"boot.pval",547
"ubms",546
"TSTutorial",546
"survivalAnalysis",546
"stepjglm",546
"simecol",546
"PUPAIM",546
"npreg",546
"nftbart",546
"icesTAF",546
"grnn",546
"gpboost",546
"eggCounts",546
"varSelRF",545
"tmbstan",545
"survivalmodels",545
"statgenSTA",545
"sparseinv",545
"gorica",545
"GoFKernel",545
"correlationfunnel",545
"BayesDIP",545
"splutil",544
"SpaDES.core",544
"saemix",544
"rtop",544
"readBrukerFlexData",544
"gitlabr",544
"fastdigest",544
"SearchTrees",543
"PracTools",543
"MALDIquantForeign",543
"AzureVM",543
"aster",543
"abcrf",543
"switchboard",542
"staggered",542
"d3po",542
"CMLS",542
"WeightedCluster",541
"vistla",541
"restoptr",541
"overlapptest",541
"MRMCaov",541
"maotai",541
"fy",541
"DRIP",541
"BuyseTest",541
"Bolstad2",541
"BGVAR",541
"vtree",540
"svrep",540
"spaa",540
"Rdsdp",540
"PSCBS",540
"PeakSegJoint",540
"imputeREE",540
"envalysis",540
"statcanR",539
"nptest",539
"lmm",539
"DSI",539
"datefixR",539
"csalert",539
"biganalytics",539
"SpatialTools",538
"semantic.dashboard",538
"season",538
"periscope",538
"oii",538
"natmanager",538
"mcauchyd",538
"BTM",538
"switchr",537
"shapper",537
"rnn",537
"nortsTest",537
"rSRD",536
"IncDTW",536
"easycsv",536
"boxr",536
"accelerometry",536
"textreg",535
"text2sdgData",535
"scan",535
"psychonetrics",535
"normfluodbf",535
"JointAI",535
"hR",535
"hexSticker",535
"gips",535
"codebook",535
"BNSP",535
"aRtsy",535
"vosonSML",534
"uGMAR",534
"typed",534
"SoftBart",534
"osfr",534
"growthcurver",534
"colorRamp2",534
"asus",534
"variability",533
"smerc",533
"portes",533
"OpenSpecy",533
"openEBGM",533
"nbpMatching",533
"listcomp",533
"ggetho",533
"ddpcr",533
"safetensors",532
"rstream",532
"RNHANES",532
"Rcrawler",532
"learningtower",531
"IndexNumR",531
"iheatmapr",531
"finbif",531
"SamplingBigData",530
"policytree",530
"multIntTestFunc",530
"grattan",530
"apt",530
"spTimer",529
"SiPhyNetwork",529
"sassy",529
"risksetROC",529
"jetset",529
"HMM",529
"etwfe",529
"CrossCarry",529
"beastier",529
"batchmix",529
"wheatmap",528
"GLDEX",528
"ggjoy",528
"equateIRT",528
"datanugget",528
"copBasic",528
"stranslate",527
"rexpokit",527
"pracpac",527
"pairwise",527
"NetRep",527
"loon",527
"CRediTas",527
"crawl",527
"chisquare",527
"argonDash",527
"topr",526
"splithalfr",526
"rfUtilities",526
"modQR",526
"ecotox",526
"easyNCDF",526
"DTSg",526
"DLMtool",526
"statgenGWAS",525
"rTensor",525
"multilevelTools",525
"modi",525
"mixsmsn",525
"leafletCN",525
"HaploCatcher",525
"biogrowth",525
"ads",525
"worldmet",524
"rebus.base",524
"mclustcomp",524
"hot.deck",524
"hdnom",524
"ggvoronoi",524
"genio",524
"gausscov",524
"reliabilitydiag",523
"rdlocrand",523
"IMD",523
"gpairs",523
"AzureTableStor",523
"TRexSelector",522
"standardize",522
"smidm",522
"RApiDatetime",522
"bsam",522
"BIGL",522
"ascentTraining",522
"usefun",521
"LexisNexisTools",521
"HEMDAG",521
"reportROC",520
"hybridts",520
"handlr",520
"epicontacts",520
"eda4treeR",520
"deeptime",520
"wordnet",519
"rts",519
"resampledata",519
"newsmap",519
"measr",519
"marelac",519
"inlpubs",519
"ecan",519
"easyVerification",519
"CpmERCCutoff",519
"autoimage",519
"ACSWR",519
"relevance",518
"rebus.unicode",518
"pwr2",518
"LMMstar",518
"gmapsdistance",518
"caracas",518
"addhazard",518
"survHE",517
"ROAuth",517
"PLmixed",517
"nomogramFormula",517
"nlmixr2plot",517
"list",517
"experiment",517
"cmsafops",517
"archivist",517
"OasisR",516
"RMOAjars",515
"RGtk2",515
"rebus.numbers",515
"RcppBDT",515
"pubh",515
"pedigreemm",515
"macrocol",515
"gamlss.add",515
"BaseTempSeed",515
"spatsoc",514
"gnorm",514
"corpora",514
"cmsafvis",514
"tvReg",513
"signnet",513
"regressinator",513
"pastclim",513
"nlsem",513
"IQCC",513
"dittodb",513
"decompr",513
"SiMRiv",512
"provenance",512
"gslnls",512
"envirem",512
"cna",512
"rptR",511
"reutils",511
"npclust",511
"ggplotlyExtra",511
"GeneralizedWendland",511
"coefficientalpha",511
"assist",511
"repsd",510
"ppcSpatial",510
"lgtdl",510
"gwasrapidd",510
"deal",510
"clusterPower",510
"textreuse",509
"SolveSAPHE",509
"Rlof",509
"OmicSense",509
"micromapST",509
"MazamaTimeSeries",509
"DynTxRegime",509
"congress",509
"bnclassify",509
"torchopt",508
"TDA",508
"qgg",508
"prompter",508
"phateR",508
"ips",508
"GET",508
"conos",508
"Weighted.Desc.Stat",507
"read.gt3x",507
"mvMORPH",507
"MultinomialCI",507
"fabR",507
"coronavirus",507
"altair",507
"spsur",506
"salso",506
"rPref",506
"ricu",506
"pmsampsize",506
"nse",506
"MSEtool",506
"micEconCES",506
"MetaUtility",506
"MatrixEQTL",506
"ggordiplots",506
"EGRET",506
"cmna",506
"checkdown",506
"yuima",505
"ring",505
"massiveGST",505
"healthyR.ts",505
"grafzahl",505
"dnet",505
"disposables",505
"cNORM",505
"AHMbook",505
"yamlet",504
"tgcd",504
"RMTL",504
"phreeqc",504
"iq",504
"hclust1d",504
"choroplethrAdmin1",504
"ATAforecasting",504
"aorsf",504
"someMTP",503
"simfinapi",503
"seas",503
"prt",503
"MLeval",503
"kmer",503
"babette",503
"assignR",503
"ssmrob",502
"sensemakr",502
"RAINBOWR",502
"genomicper",502
"fuzzySim",502
"discSurv",502
"ComICS",502
"APIS",502
"zoom",501
"psyphy",501
"gamlss.tr",501
"CCMMR",501
"bigleaf",501
"rdbnomics",500
"oceanmap",500
"DSOpal",500
"pwt",499
"poolfstat",499
"IBrokers",499
"gMOIP",499
"deducorrect",499
"bvpSolve",499
"bea.R",499
"xpose4",498
"SPOT",498
"rmzqc",498
"rgoogleads",498
"RcmdrPlugin.ROC",498
"RaceID",498
"precommit",498
"cjoint",498
"TraMineRextras",497
"simsem",497
"SAMtool",497
"prim",497
"LSD",497
"BcDiag",497
"BCC1997",497
"bayesforecast",497
"WaveletMLbestFL",496
"surveyplanning",496
"phylotools",496
"jointPm",496
"ixplorer",496
"gsMAMS",496
"creditmodel",496
"sfdep",495
"MSG",495
"LDATS",495
"CopulaInference",495
"vecsets",494
"RcmdrPlugin.temis",494
"QUALYPSO",494
"permutations",494
"packHV",494
"poolr",493
"poissonreg",493
"PHEindicatormethods",493
"LARF",493
"dados",493
"CpGassoc",493
"pyramid",492
"liteq",492
"ggPMX",492
"ConnectednessApproach",492
"BANOVA",492
"varTestnlme",491
"table.express",491
"semtree",491
"RGraphics",491
"AzureCognitive",491
"antaresProcessing",491
"trialr",490
"texor",490
"optimization",490
"Nmix",490
"MSSQL",490
"hopkins",490
"convey",490
"arcpullr",490
"xpectr",489
"SSN",489
"RCSF",489
"mlexperiments",489
"mada",489
"gawdis",489
"ds4psy",489
"cheddar",489
"bmem",489
"actilifecounts",489
"statgenIBD",488
"robslopes",488
"fakmct",488
"cdfquantreg",488
"alfred",488
"spNetwork",487
"SpatialPack",487
"rslurm",487
"REAT",487
"rbmi",487
"manhattanly",487
"EcoVirtual",487
"cyclestreets",487
"argonR",487
"TreeSearch",486
"robis",486
"modelStudio",486
"FLightR",486
"cosinor2",486
"tlars",485
"textplot",485
"simts",485
"mvnormalTest",485
"mosaicModel",485
"metaGE",485
"jlmerclusterperm",485
"hydrogeo",485
"himach",485
"chemCal",485
"bmgarch",485
"APCanalysis",485
"supernova",484
"RATest",484
"OrthoPanels",484
"mark",484
"mAr",484
"joint.Cox",484
"hqreg",484
"GE",484
"arpr",484
"ADMM",484
"miscset",483
"KaradaColor",483
"h3lib",483
"GWASinspector",483
"FRACTION",483
"citecorp",483
"adiv",483
"prais",482
"modifiedmk",482
"memery",482
"factorstochvol",482
"ebirdst",482
"sentometrics",481
"mvgb",481
"hrqglas",481
"freealg",481
"baycn",481
"aftgee",481
"WienR",480
"RandVar",480
"PermAlgo",480
"MakeYourPalette",480
"ebdbNet",480
"clustrd",480
"Select",479
"pivotea",479
"otuSummary",479
"msaR",479
"monochromeR",479
"i2dash",479
"filearray",479
"etasFLP",479
"cmocean",479
"chirps",479
"BigVAR",479
"auditor",479
"ANN2",479
"wrswoR",478
"ROI.plugin.symphony",478
"rerddapXtracto",478
"randomForestVIP",478
"pRecipe",478
"NAM",478
"mplot",478
"migest",478
"ClimProjDiags",478
"bayesAB",478
"anyflights",478
"RcmdrPlugin.BWS1",477
"packagefinder",477
"neuroblastoma",477
"micEconAids",477
"lintools",477
"eatTools",477
"abdiv",477
"resourcer",476
"landscapetools",476
"GenEst",476
"GB2",476
"fflr",476
"ESG",476
"DES",476
"binr",476
"StratigrapheR",475
"spgrass6",475
"ResistorArray",475
"RcmdrPlugin.RiskDemo",475
"psfmi",475
"plotdap",475
"MDEI",475
"gg.gap",475
"derivmkts",475
"bayesmix",475
"TSMN",474
"TreeBUGS",474
"tokenizers.bpe",474
"ThresholdROC",474
"rDEA",474
"parsermd",474
"nc",474
"ltmle",474
"highOrderPortfolios",474
"BibPlots",474
"BHTSpack",474
"SpPOP",473
"sperrorest",473
"sparseMVN",473
"greport",473
"ggasym",473
"elmNNRcpp",473
"CircNNTSR",473
"childsds",473
"bcROCsurface",473
"bartCause",473
"AzureVision",473
"yorkr",472
"tinytiger",472
"SCINA",472
"RGCCA",472
"qMRI",472
"magicfor",472
"JMbayes2",472
"GMMBoost",472
"corehunter",472
"basictabler",472
"smoothHR",471
"signs",471
"prcr",471
"pez",471
"hsdar",471
"GPFDA",471
"teamr",470
"SCRT",470
"riverdist",470
"puniform",470
"OceanView",470
"nomnoml",470
"multibridge",470
"flsa",470
"DJL",470
"CaseCohortCoxSurvival",470
"streamDAG",469
"rmcfs",469
"reda",469
"IsoplotRgui",469
"IOHanalyzer",469
"exuber",469
"condSURV",469
"anomaly",469
"wTO",468
"sdPrior",468
"santoku",468
"RchivalTag",468
"r4ss",468
"protr",468
"dsb",468
"coveffectsplot",468
"ump",467
"textrank",467
"rnpn",467
"ribd",467
"RcmdrPlugin.MPAStats",467
"rChoiceDialogs",467
"protti",467
"phyloseqGraphTest",467
"PDE",467
"MVTests",467
"mrfDepth",467
"disaggregation",467
"RStata",466
"roxyglobals",466
"predtools",466
"pmr",466
"oro.dicom",466
"nls.multstart",466
"kpmt",466
"GSE",466
"eurlex",466
"cOde",466
"BalancedSampling",466
"AzureVMmetadata",466
"VSURF",465
"RprobitB",465
"missMethods",465
"inTextSummaryTable",465
"hett",465
"gtfs2gps",465
"finch",465
"ecolottery",465
"adjustedCurves",465
"rLakeAnalyzer",464
"RcmdrPlugin.orloca",464
"propagate",464
"openmetrics",464
"NormPsy",464
"MIIVsem",464
"ggseas",464
"frequency",464
"AzureCosmosR",464
"suggests",463
"starwarsdb",463
"RXKCD",463
"RMediation",463
"jmvconnect",463
"DQAstats",463
"deming",463
"biscale",463
"TripleR",462
"sig",462
"rdpower",462
"ppclust",462
"performanceEstimation",462
"oncoPredict",462
"ggstream",462
"dHSIC",462
"auth0",462
"AdMit",462
"waterData",461
"tracerer",461
"strvalidator",461
"stream",461
"maptpx",461
"lefko3",461
"gptzeror",461
"BiBitR",461
"AdhereRViz",461
"tidyhte",460
"preseqR",460
"metathis",460
"fritools2",460
"fdasrvf",460
"Rilostat",459
"PGRdup",459
"paleoTS",459
"oaqc",459
"MOTE",459
"intradayModel",459
"GpGp",459
"careless",459
"bigsplines",459
"BAwiR",459
"AzureQstor",459
"SIDES",458
"RSA",458
"polished",458
"mcr",458
"genoPlotR",458
"funkyheatmap",458
"fastLink",458
"fasta",458
"Anthropometry",458
"turboEM",457
"tfplot",457
"spuRs",457
"regtools",457
"MVar",457
"dynparam",457
"clinUtils",457
"CINNA",457
"causaleffect",457
"sure",456
"rglwidget",456
"RcmdrPlugin.Export",456
"R6P",456
"MFAg",456
"greekLetters",456
"fNonlinear",456
"feltr",456
"cxhull",456
"tsPI",455
"SDMtune",455
"repeated",455
"reclin2",455
"cjbart",455
"wpa",454
"threeBrain",454
"swdpwr",454
"secret",454
"readJDX",454
"ProjectionBasedClustering",454
"oaxaca",454
"movecost",454
"feature",454
"cropdatape",454
"strucchangeRcpp",453
"NEONiso",453
"momentuHMM",453
"MFPCA",453
"ltsk",453
"funData",453
"dialrjars",453
"codemeta",453
"CalibrationCurves",453
"ADAPTS",453
"PakPC2023",452
"mixexp",452
"mikropml",452
"metaumbrella",452
"mbbefd",452
"geostatsp",452
"caschrono",452
"asciiSetupReader",452
"areaplot",452
"simPH",451
"sdamr",451
"RXshrink",451
"Rcompadre",451
"psyntur",451
"pixiedust",451
"pixarfilms",451
"nLTT",451
"IRISSeismic",451
"cocorresp",451
"socialmixr",450
"SHELF",450
"RcmdrPlugin.EcoVirtual",450
"papeR",450
"magclass",450
"EpiContactTrace",450
"dsm",450
"catcont",450
"BrailleR",450
"ArCo",450
"RIdeogram",449
"phyloregion",449
"PDtoolkit",449
"oHMMed",449
"i2extras",449
"Dire",449
"adjclust",449
"spMaps",448
"skeletor",448
"qspray",448
"MPDiR",448
"lfstat",448
"dynamac",448
"camcorder",448
"BayesLCA",448
"afmToolkit",448
"ACEt",448
"WeibullR",447
"tscount",447
"startR",447
"starter",447
"sparseFLMM",447
"pooh",447
"fxregime",447
"bspec",447
"ssgraph",446
"meta.shrinkage",446
"isnullptr",446
"idefix",446
"enmSdmX",446
"Eagle",446
"DominoDataCapture",446
"cppRouting",446
"clean",446
"bootUR",446
"BeSS",446
"AustralianPoliticians",446
"AdaptGauss",446
"smovie",445
"remmy",445
"recluster",445
"rbcc",445
"predict3d",445
"NPflow",445
"NHLData",445
"fakemake",445
"coxed",445
"coda.base",445
"basicMCMCplots",445
"aRxiv",445
"TidyDensity",444
"QDiabetes",444
"ProfessR",444
"mtscr",444
"meteoland",444
"ghibli",444
"DescToolsAddIns",444
"cptcity",444
"checkglobals",444
"catsim",444
"antitrust",444
"allelematch",444
"rmumps",443
"RcppXPtrUtils",443
"RcppCNPy",443
"RcmdrPlugin.EBM",443
"parsec",443
"lsl",443
"gjam",443
"ARPALData",443
"virtualspecies",442
"topmodel",442
"snplinkage",442
"sand",442
"Rforestry",442
"RDieHarder",442
"PL94171",442
"mvbutils",442
"MAP",442
"jrc",442
"GeneralizedUmatrix",442
"etl",442
"DQAgui",442
"civis",442
"BTSPAS",442
"aster2",442
"xmeta",441
"panelaggregation",441
"magickGUI",441
"hydroPSO",441
"genieclust",441
"epoxy",441
"economiccomplexity",441
"countries",441
"ASMap",441
"Sofi",440
"rddtools",440
"RcmdrPlugin.BWS2",440
"R0",440
"hpa",440
"homals",440
"gvc",440
"gnumeric",440
"generalCorr",440
"acopula",440
"Ryacas0",439
"protViz",439
"PrevMap",439
"nsRFA",439
"MIAmaxent",439
"heatwaveR",439
"TestDesign",438
"rnrfa",438
"riskmetric",438
"pBrackets",438
"kmi",438
"flashlight",438
"baggr",438
"acled.api",438
"zoib",437
"Zelig",437
"stevedata",437
"sportyR",437
"shinyMobile",437
"sensobol",437
"samplesize4surveys",437
"reportr",437
"PLNmodels",437
"nonparaeff",437
"dirichletprocess",437
"d3Network",437
"crosswalkr",437
"biosignalEMG",437
"actxps",437
"abmR",437
"SpecsVerification",436
"RZooRoH",436
"nnTensor",436
"mashr",436
"ivmodel",436
"htsr",436
"GGUM",436
"FuzzyNumbers",436
"funrar",436
"eiCompare",436
"distantia",436
"ClustBlock",436
"blockmodels",436
"tabula",435
"svgViewR",435
"simstandard",435
"RTransferEntropy",435
